Accession,UniP entry,Gene,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fold change ( CL/LB),log2FC (Cl/LB),Highest mean condition,Lowest mean condition,Mass,Description,Treatment,CL1,CL2,CL3,CL4,CL5,LB1,LB2,LB3,LB4
sp|Q9HW09|PANE_PSEAE,Q9HW09,panE,1,1,16.52,0.004817222,0.0021061,13.99102984,0.936031494,13.99102984,3.8,CL,LB,33383,Probable 2-dehydropantoate 2-reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=panE PE=3 SV=1,Q9HW09,5509.626775,6566.647943,12367.34169,7076.070791,6563.719676,0,0,0,2177.589916
tr|Q9I572|Q9I572_PSEAE,Q9I572,phhR,1,1,26.51,3.04832E-05,5.33707E-05,11.85777908,0.999999998,11.85777908,3.6,CL,LB,57412,Transcriptional regulator PhhR OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=phhR PE=4 SV=1,Q9I572,59609.09646,69995.17313,128311.2234,37256.94107,92626.85161,5074.946391,8344.534549,6858.32667,5885.559612
tr|Q9I432|Q9I432_PSEAE,Q9I432,PA1312,1,1,16.13,0.045319127,0.013640867,10.60701534,0.558454114,10.60701534,3.4,CL,LB,33271,Probable transcriptional regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1312 PE=4 SV=1,Q9I432,9982.027653,21764.15863,23775.34082,16518.52874,18952.98281,1521.32069,0,519.7949416,4821.741504
tr|Q9I2V1|Q9I2V1_PSEAE,Q9I2V1,PA1791,1,1,16.28,1.36986E-07,2.3772E-06,9.957478834,1,9.957478834,3.3,CL,LB,48529,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1791 PE=4 SV=1,Q9I2V1,57330.596,65833.73362,54925.16723,72151.49511,59029.6653,4911.387229,8183.963351,6042.967911,5708.987733
sp|Q9I3W9|PDXB_PSEAE,Q9I3W9,pdxB,2,2,66.09,0.028503997,0.009212604,2.43,0.66212585,0.41,-1.3,LB,CL,41432,Erythronate-4-phosphate dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=pdxB PE=1 SV=1,Q9I3W9,51025.60914,35869.12532,33047.85391,9972.181335,50079.3375,112440.4554,74731.46392,102056.684,60190.60473
tr|Q9I3V3|Q9I3V3_PSEAE,Q9I3V3,PA1391,1,1,14.58,6.46009E-05,8.26571E-05,8.72080227,0.999999843,8.72080227,3.1,CL,LB,66686,Probable glycosyl transferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1391 PE=4 SV=1,Q9I3V3,3663863.515,10896014.7,10090577.89,7495122.019,12007666.79,940101.5152,920522.5511,1121923.738,1067835.961
tr|G3XD58|G3XD58_PSEAE,G3XD58,wzt,1,1,19.13,1.17215E-05,2.95455E-05,8.398852361,1,8.398852361,3.1,CL,LB,47295,ABC subunit of A-band LPS efflux transporter OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=wzt PE=4 SV=1,G3XD58,1082264.811,1468129.128,1140398.846,1161732.208,1325617.605,118033.4739,136701.3687,87750.98094,245989.1092
sp|Q9KGU6|DXR_PSEAE,Q9KGU6,dxr,1,1,18.08,2.80941E-08,1.40843E-06,7.431873847,1,7.431873847,2.9,CL,LB,42767,1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=dxr PE=1 SV=1,Q9KGU6,1766218.362,2065320.158,1555591.403,2041407.813,2042571.002,244507.1097,281568.4324,227147.9041,266288.8795
sp|Q9HY62|ARND_PSEAE,Q9HY62,arnD,1,1,118.58,2.28831E-05,4.62991E-05,7.189506657,1,7.189506657,2.8,CL,LB,33070,Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=arnD PE=3 SV=1,Q9HY62,100476.8758,143954.2455,69272.79094,94026.58232,126430.1504,11622.66788,15584.91672,21536.63127,10693.59208
sp|Q9HTU7|Y5247_PSEAE,Q9HTU7,PA5247,2,2,152.49,0.024261255,0.008031182,3.00,0.696226704,0.33,-1.6,LB,CL,18049,UPF0178 protein PA5247 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5247 PE=3 SV=1,Q9HTU7,73094.21432,13397.12922,31372.443,8642.496172,65485.76755,110891.9867,110680.2055,91022.74574,147487.1862
tr|Q9HW35|Q9HW35_PSEAE,Q9HW35,bifA,1,1,19.52,0.000132291,0.000135965,6.532981704,0.999994364,6.532981704,2.7,CL,LB,77745,BifA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=bifA PE=4 SV=1,Q9HW35,9479.047871,8773.78658,12100.51271,10900.89409,7943.776718,3003.246272,977.2362613,834.2564042,1209.832408
tr|Q9I0B0|Q9I0B0_PSEAE,Q9I0B0,PA2732,2,1,29.24,9.12009E-05,0.000104794,6.471216303,0.999999029,6.471216303,2.7,CL,LB,128877,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2732 PE=4 SV=1,Q9I0B0,385040.7632,346136.3359,200361.5097,603915.3069,315304.4345,49457.38566,65434.81058,42084.4198,71822.20798
tr|Q9I0T3|Q9I0T3_PSEAE,Q9I0T3,PA2551,2,2,85.68,0.023796028,0.007923686,2.13,0.70023407,0.47,-1.1,LB,CL,35236,Probable transcriptional regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2551 PE=4 SV=1,Q9I0T3,30316.32081,40503.81894,35512.18167,11853.11458,32601.87599,60382.16907,41724.70653,76775.14225,77986.39744
sp|Q9HY61|ARNT_PSEAE,Q9HY61,arnT,1,1,45.87,1.59579E-05,3.69235E-05,6.334119877,1,6.334119877,2.7,CL,LB,62030,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=arnT PE=3 SV=1,Q9HY61,64219.59707,90806.23018,58475.3185,78423.15342,73000.89204,6693.686262,13062.19609,11047.09154,15287.11575
tr|G3XD83|G3XD83_PSEAE,G3XD83,PA0625,1,1,19.52,8.51158E-06,2.43061E-05,5.705272889,1,5.705272889,2.5,CL,LB,77602,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0625 PE=4 SV=1,G3XD83,1015283.288,1177385.228,1881651.68,1266256.937,1458657.19,225072.1057,251909.4663,179072.8536,297342.1191
tr|Q9HTD5|Q9HTD5_PSEAE,Q9HTD5,PA5431,1,1,14.81,0.004899294,0.002132392,5.323127254,0.934619222,5.323127254,2.4,CL,LB,53801,Probable transcriptional regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5431 PE=4 SV=1,Q9HTD5,9844.414814,13427.47059,32161.84356,38540.15825,21803.98753,6025.356934,3645.512566,1441.815572,6287.293431
tr|Q9I1P8|Q9I1P8_PSEAE,Q9I1P8,PA2221,1,1,14.46,0.001454908,0.000824607,5.293799651,0.990873953,5.293799651,2.4,CL,LB,45602,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2221 PE=4 SV=1,Q9I1P8,307630.938,294816.4726,239278.6282,295516.081,262078.2404,14323.87164,44755.07013,36406.51875,115980.0958
tr|Q9I2L6|Q9I2L6_PSEAE,Q9I2L6,PA1881,3,2,126.11,0.0206933,0.007050087,3.90,0.728516467,0.26,-2.0,LB,CL,16405,Probable oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1881 PE=4 SV=1,Q9I2L6,99285.98364,54254.33984,102770.2613,8703.81796,115559.5204,245551.5437,273252.1255,385072.5672,284402.1531
sp|Q9I767|5NTD_PSEAE,Q9I767,PA0065,1,1,147.99,5.85983E-05,7.79116E-05,5.00923298,0.99999991,5.00923298,2.3,CL,LB,25164,5'-nucleotidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0065 PE=1 SV=1,Q9I767,563441.3894,1007753.26,558797.0822,1185432.427,691834.6328,171519.7093,169891.3298,130633.4931,167935.0907
tr|Q9HX12|Q9HX12_PSEAE,Q9HX12,PA4015,8,8,592.32,1.71453E-08,1.15219E-06,1.934844634,1,0.516837364,-1.0,LB,CL,16804,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4015 PE=4 SV=1,Q9HX12,4092971.63,3995343.392,4058544.233,4178078.131,4086942.162,8428244.913,7897555.485,7784980.993,7484271.096
tr|Q7DC81|Q7DC81_PSEAE,Q7DC81,phzE1,2,2,104.81,0.018794264,0.006507931,2.45,0.747306772,0.41,-1.3,LB,CL,69165,Phenazine biosynthesis protein PhzE OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=phzE1 PE=4 SV=1,Q7DC81,82836.63769,104766.707,74453.85119,110529.5714,69193.86774,158410.8367,161747.8234,124119.8956,422850.6151
sp|Q51564|DAPF_PSEAE,Q51564,dapF,2,2,124.34,0.017106603,0.0060083,2.12,0.765078141,0.47,-1.1,LB,CL,30529,Diaminopimelate epimerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=dapF PE=1 SV=2,Q51564,18558.68162,26672.68934,7656.067326,17193.54204,18241.50177,29777.1826,50765.82581,38916.93399,30385.86932
tr|Q9I0W8|Q9I0W8_PSEAE,Q9I0W8,antC,2,2,152.36,0.017012254,0.005992041,31.06,0.766103685,0.03,-5.0,LB,CL,38604,Anthranilate dioxygenase reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=antC PE=4 SV=1,Q9I0W8,0,0,0,0,10459.17384,1776.853098,6409.916782,1654.820171,250038.2972
sp|Q9HZ68|HIS82_PSEAE,Q9HZ68,hisC2,1,1,14.17,0.007222824,0.002891646,4.275664841,0.895887205,4.275664841,2.1,CL,LB,39573,Histidinol-phosphate aminotransferase 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=hisC2 PE=3 SV=1,Q9HZ68,16461.32615,18159.645,16847.43012,46640.91386,27760.1039,6240.171757,5505.577453,10225.99653,1579.102834
tr|Q9I6D3|Q9I6D3_PSEAE,Q9I6D3,PA0361,2,2,187.19,0.015856488,0.005651131,2.43,0.778958679,0.41,-1.3,LB,CL,62080,Probable gamma-glutamyltranspeptidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0361 PE=4 SV=1,Q9I6D3,40588.17877,78462.52626,27017.95629,55960.81259,56433.05273,159664.143,105556.3522,170333.0108,66675.16208
sp|P72158|PURK_PSEAE,P72158,purK,3,3,239.92,0.013779949,0.005010002,2.15,0.803508522,0.46,-1.1,LB,CL,38757,N5-carboxyaminoimidazole ribonucleotide synthase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=purK PE=3 SV=2,P72158,2239669.236,1523239.836,1706500.736,682033.3013,2278112.94,3332204.027,3265672.367,4483489.009,3451073.466
tr|Q9HUY5|Q9HUY5_PSEAE,Q9HUY5,mgtA,17,17,1741.82,0.013033349,0.004777053,2.36,0.812830184,0.42,-1.2,LB,CL,100443,"Mg(2+) transport ATPase, P-type 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=mgtA PE=4 SV=1",Q9HUY5,6902603.629,7899079.474,4606955.598,5256320.575,5084527.463,10345993.43,11863521.74,8624169.509,25428062.6
tr|Q9I2V6|Q9I2V6_PSEAE,Q9I2V6,PA1786,1,1,14.11,8.11541E-06,2.34719E-05,3.832970339,1,3.832970339,1.9,CL,LB,43759,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1786 PE=4 SV=1,Q9I2V6,403899.8915,454148.2924,331241.1864,489325.3707,437659.8365,101313.6038,111424.2582,87396.69722,141564.5702
sp|Q9HTW3|ZAPA_PSEAE,Q9HTW3,zapA,3,3,243.93,0.012912652,0.004740516,2.73,0.814363216,0.37,-1.5,LB,CL,11762,Cell division protein ZapA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=zapA PE=1 SV=1,Q9HTW3,190496.495,38459.16987,186428.0904,134889.9,102503.9037,417107.8747,371594.7006,364058.2114,274073.7529
sp|Q9I5W4|IMPA_PSEAE,Q9I5W4,impA,5,4,280.46,1.46534E-07,2.44871E-06,8.86,1,8.86,3.1,CL,LB,100607,Immunomodulating metalloprotease OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=impA PE=1 SV=1,Q9I5W4,435329.8165,258114.8292,303848.7283,331347.6751,343389.7578,34766.73566,35573.03231,38351.14458,42208.93356
tr|Q9I698|Q9I698_PSEAE,Q9I698,tonB3,1,1,14.5,0.000660956,0.0004405,3.717654712,0.998512066,3.717654712,1.9,CL,LB,35354,TonB3 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=tonB3 PE=4 SV=1,Q9I698,119008.7736,216637.0945,132236.8512,250586.2432,104786.8752,54435.20316,48506.03612,42111.63214,32103.08337
tr|Q9I787|Q9I787_PSEAE,Q9I787,PA0045,1,1,97.25,0.000963276,0.00059052,3.709392909,0.996239016,3.709392909,1.9,CL,LB,24438,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0045 PE=4 SV=1,Q9I787,115282.8643,109655.5823,76987.37151,142497.4117,132027.172,13965.66156,38165.6408,29255.01049,42936.00423
tr|Q9I298|Q9I298_PSEAE,Q9I298,liuC,7,7,941.11,7.3844E-08,1.93743E-06,1.807568656,1,0.553229332,-0.9,LB,CL,29271,Putative 3-methylglutaconyl-CoA hydratase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=liuC PE=3 SV=1,Q9I298,15725340.73,15703870.02,14600521.45,14106061.13,14701791.76,27356632.99,26406561.53,27574690.96,26881373
tr|Q9I0I7|Q9I0I7_PSEAE,Q9I0I7,PA2651,1,1,74.02,4.82246E-06,1.81322E-05,3.566905946,1,3.566905946,1.8,CL,LB,38522,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2651 PE=4 SV=1,Q9I0I7,97845.25569,127734.6537,99604.19517,139142.7069,144167.811,34895.63682,30571.00368,33409.31823,37599.66058
tr|Q9I531|Q9I531_PSEAE,Q9I531,PA0926,1,1,24.06,0.000552477,0.000387673,3.448905401,0.999083687,3.448905401,1.8,CL,LB,16104,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0926 PE=4 SV=1,Q9I531,279096.9735,598385.8514,690162.6829,651996.5541,628382.9901,166231.0686,178266.3686,134066.2981,182057.4695
tr|Q9I5H5|Q9I5H5_PSEAE,Q9I5H5,PA0754,9,9,926.28,4.36516E-09,6.5651E-07,6.85,1,6.85,2.8,CL,LB,35010,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0754 PE=4 SV=1,Q9I5H5,21021613.52,22322867.28,17818568.1,23406214.27,21748905.57,2956830.733,3238509.538,3075368.865,3154826.321
sp|Q9I310|Y1727_PSEAE,Q9I310,PA1727,1,1,14,0.000387227,0.000299168,3.326744526,0.999679891,3.326744526,1.7,CL,LB,74673,Uncharacterized signaling protein PA1727 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1727 PE=3 SV=1,Q9I310,345047.16,675515.1558,307938.626,407845.0371,543817.7514,122150.6233,130738.309,116551.5424,178882.6593
tr|Q9HVB3|Q9HVB3_PSEAE;tr|Q9HW60|Q9HW60_PSEAE,Q9HVB3,PA4682,1,1,20.46,0.001608693,0.000884081,3.271158478,0.988882746,3.271158478,1.7,CL,LB,37207,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4682 PE=4 SV=1,Q9HVB3,179140.9359,252633.8683,295011.7133,290597.8167,235938.1709,39010.8055,54725.40051,74317.6196,138460.8269
sp|P14789|LASA_PSEAE,P14789,lasA,9,9,763.18,4.35405E-09,6.5651E-07,6.47,1,6.47,2.7,CL,LB,45717,Protease LasA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=lasA PE=1 SV=3,P14789,9744069.227,9081037.902,9300713.939,8047061.152,8125295.877,1469426.753,1343333.479,1241195.63,1423597.303
tr|Q9HWM8|Q9HWM8_PSEAE,Q9HWM8,PA4153,1,1,16.69,0.001654121,0.000903617,3.191179134,0.988272039,3.191179134,1.7,CL,LB,38853,"2,3-butanediol dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4153 PE=3 SV=1",Q9HWM8,707876.8447,575830.085,589859.1767,481122.8547,750642.0452,98770.64023,237222.407,126680.8454,315804.7514
sp|Q9HXY2|UPPS_PSEAE,Q9HXY2,uppS,1,1,38.71,0.032675266,0.010345854,3.180794876,0.632311405,3.180794876,1.7,CL,LB,28308,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=uppS PE=3 SV=1",Q9HXY2,26755.95099,27328.76527,10530.93307,25638.82641,34094.61918,8733.836286,2403.97367,1034.083462,19103.08023
sp|Q9HWK6|LYSC_PSEAE,Q9HWK6,prpL,5,5,616.14,2.08905E-07,3.029E-06,5.09,1,5.09,2.3,CL,LB,48582,Lysyl endopeptidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=prpL PE=1 SV=1,Q9HWK6,5765187.012,4870102.822,3706075.619,4724436.397,4578137.139,904408.1349,976563.0799,926545.6569,911171.839
tr|Q9HXD4|Q9HXD4_PSEAE,Q9HXD4,narK2,1,1,22.98,0.742034956,0.145123865,3.085944937,0.060382082,3.085944937,1.6,CL,LB,50864,Nitrite extrusion protein 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=narK2 PE=4 SV=1,Q9HXD4,46634.01474,34279.06937,95766.14422,0,50810.71537,5548.973578,13806.34293,14467.79883,25151.35073
tr|Q9I033|Q9I033_PSEAE,Q9I033,copS,1,1,14.49,0.003599177,0.001667272,3.019497376,0.957087366,3.019497376,1.6,CL,LB,49335,"Two-component sensor, CopS OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=copS PE=4 SV=1",Q9I033,336835.7111,837834.2228,1051503.781,994405.3556,707947.9959,267218.1408,287350.2477,206699.0258,279575.2367
sp|Q9I742|CLPV1_PSEAE,Q9I742,clpV1,7,7,232.87,6.16594E-08,1.85469E-06,4.86,1,4.86,2.3,CL,LB,98905,Protein ClpV1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=clpV1 PE=1 SV=1,Q9I742,868015.9503,865395.5107,699067.2545,788978.5191,809169.3313,149448.7538,192601.3849,167195.0351,154130.0788
